,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Americana (SP),237247,134,1771.66
Araçatuba (SP),200124,1167,171.47
Araraquara (SP),242228,1004,241.35
Araras (SP),130866,645,202.95
Assis (SP),101409,461,220.16
Atibaia (SP),158640,479,331.52
Barretos (SP),122485,1566,78.21
Barueri (SP),316473,66,4816.87
Bauru (SP),379146,668,567.85
Birigui (SP),118979,530,224.48
Botucatu (SP),145155,1483,97.9
Bragança Paulista (SP),176811,513,344.94
Caraguatatuba (SP),134875,485,278.12
Carapicuíba (SP),387121,35,11205.96
Catanduva (SP),115785,291,398.44
Cotia (SP),273640,324,844.58
Cubatão (SP),112471,143,787.18
Diadema (SP),393237,31,12795.69
Embu das Artes (SP),250720,70,3561.46
Ferraz de Vasconcelos (SP),179205,30,6065.08
Franca (SP),352537,606,582.05
Francisco Morato (SP),165139,49,3370.11
Franco da Rocha (SP),144849,133,1090.94
Guaratinguetá (SP),118044,753,156.84
Guarujá (SP),287634,145,1986.5
Hortolândia (SP),236641,62,3791.35
Indaiatuba (SP),255739,312,820.87
Itanhaém (SP),112476,602,186.93
Itapecerica da Serra (SP),158522,151,1051.61
Itapetininga (SP),157790,1789,88.18
Itapevi (SP),232513,83,2812.95
Itaquaquecetuba (SP),369275,83,4469.45
Itatiba (SP),122424,322,379.88
Itu (SP),168240,641,262.58
Jacareí (SP),240275,464,517.53
Jandira (SP),118045,17,6765.14
Jaú (SP),133497,687,194.29
Jundiaí (SP),443116,431,1027.62
Limeira (SP),291869,581,502.61
Marília (SP),237629,1171,203.01
Mauá (SP),418261,62,6753.01
Mogi das Cruzes (SP),449955,713,631.48
Mogi Guaçu (SP),153661,813,189.06
Ourinhos (SP),103970,296,351.47
Paulínia (SP),110537,139,796.51
Pindamonhangaba (SP),165428,731,226.19
Piracicaba (SP),423323,1378,307.19
Poá (SP),103765,17,6010.48
Praia Grande (SP),349935,150,2338.32
Presidente Prudente (SP),225668,561,402.52
Ribeirão Pires (SP),115559,99,1167.59
Rio Claro (SP),201418,498,404.11
Salto (SP),134319,133,1009.48
Santa Bárbara d'Oeste (SP),183347,271,676.48
Santana de Parnaíba (SP),154105,180,856.38
Santos (SP),418608,281,1489.53
São Caetano do Sul (SP),165655,15,10805.23
São Carlos (SP),254822,1137,224.14
São José do Rio Preto (SP),480439,432,1112.27
São Vicente (SP),329844,148,2226.4
Sertãozinho (SP),126887,403,314.79
Sumaré (SP),279546,153,1821.56
Suzano (SP),307364,206,1490.35
Taboão da Serra (SP),273542,20,13416.81
Tatuí (SP),123942,524,236.64
Taubaté (SP),310739,625,497.18
Valinhos (SP),126325,149,850.46
Várzea Paulista (SP),115771,35,3296.44
Votorantim (SP),127923,184,694.53
